browser,browser_version,city,commentId,commentMessage,contentId,contentName,contentType,created,currentSpaceId,current_url,device,distinct_id,errorStateCode,event,event_1,feedItemActorId,feedItemActorType,feedItemDescription,feedItemId,feedItemTargetType,feedItemTargetTypeId,feedItemVerbId,hasFinishedOnboarding,hasSetPassword,id,initial_referrer,initial_referring_domain,lib_version,mediaDescription,mediaProviderName,mediaProviderUrl,mediaTitle,mediaType,mediaUrl,mp_country_code,mp_lib,name,notificationActorId,notificationActorType,notificationDescription,notificationId,notificationTargetType,notificationTargetTypeId,notificationVerbId,os,path,postId,postMessage,referrer,referrer.1,referring_domain,region,screen,screen_height,screen_width,search,spaceId,space_1,time,time_1,title,topic,topicId,topicName,updatedAt,url,usingStandaloneApp,utmTargetURL,utm_medium,utm_source
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/foiler-til-hvert-kapittel/feed,,5693844d2bea66f99e5af2e6,,Selected all topics,Selected all topics,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452859367,2016-01-15 13:02:47,,foiler-til-hvert-kapittel,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/foiler-til-hvert-kapittel/feed,,5693844d2bea66f99e5af2e6,,Viewed /spaces/569384db2bea66f99e5af2e7/topics//feed Page,Viewed feed/all,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,/spaces/569384db2bea66f99e5af2e7/topics//feed,,,,,,,,Windows,/spaces/569384db2bea66f99e5af2e7/topics/foiler-til-hvert-kapittel/feed,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452859367,2016-01-15 13:02:47,Trive - Master anything,all,,,2016-01-11T12:23:48,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/foiler-til-hvert-kapittel/feed,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,5693844d2bea66f99e5af2e6,,Selected topic,Selected topic,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860084,2016-01-15 13:14:44,,all,5693c208d108fc24008de13b,"Beskjeder, kun fra Nina",2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,5693844d2bea66f99e5af2e6,,Viewed /spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed Page,Viewed feed/topic,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,,,,,,,Windows,/spaces/569384db2bea66f99e5af2e7/topics//feed,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860084,2016-01-15 13:14:44,Trive - Master anything,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,5693844d2bea66f99e5af2e6,,Uploaded file,Uploaded file,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860280,2016-01-15 13:18:00,,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,Follow the crowd.png,file,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,5693844d2bea66f99e5af2e6,,Created content,Created content,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860298,2016-01-15 13:18:18,,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,5693844d2bea66f99e5af2e6,,Opened drop down menu for feed item,Opened drop down menu for feed item,5693844d2bea66f99e5af2e6,ETUser,"{'object': {'commentThreadId': '5698d5794c36f737d6ad2647', 'commentsCount': 0, 'id': '5698d57941a9d7210023fc5c', 'contentType': 'file', 'name': 'Follow the crowd.png', 'deletedAt': None, 'updatedAt': '2016-01-15T12:18:17', 'noun': 'file', 'displayName': 'Follow the crowd.png', 'createdAt': '2016-01-15T12:18:17', 'revisionId': '5698d57941a9d7210023fc5b', 'topics': [{'revisionId': '5695059a91da2d2300566f1d', 'name': 'Beskjeder, kun fra Nina', 'slug': 'beskjeder-kun-fra-nina', 'id': '5693c208d108fc24008de13b', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}], 'article': 'a', 'session': {'permissions': {'canCreate': True, 'canUpdate': True, 'canComment': True, 'canDelete': True, 'canDownload': True}}, 'owner': {'firstName': 'Nina', 'id': '5693844d2bea66f99e5af2e6', 'lastName': 'Ronæs', 'email': 'nina.ronas@bi.no'}, 'payload': {'s3FilePreviewKey': '5698d5672fb0de2600f21f6b/Follow the crowd.png', 's3FileKey': '5698d5672fb0de2600f21f6b/Follow the crowd.png', 'uploadRequestId': '5698d5672fb0de2600f21f6b', 'fileName': 'Follow the crowd.png', 'message': 'Takk for godt engasjement i første forelesning i går! Flotte bilder sendte dere også inn! Fortsett med å holde engasjementet oppe!', 'mimeType': 'image/png'}, 'ownerId': '5693844d2bea66f99e5af2e6'}, 'actors': [{'lastName': 'Ronæs', '$$hashKey': 'object:2059', 'id': '5693844d2bea66f99e5af2e6', 'phone': '46410446', 'hasFinishedOnboarding': True, 'firstName': 'Nina', 'updatedAt': {}, 'email': 'nina.ronas@bi.no', 'createdAt': {}, 'displayName': 'Nina Ronæs', 'hasSetPassword': True}], 'target': {'noun': 'space', 'ownerId': '569368472bea66f99e5af2a5', 'id': '569384db2bea66f99e5af2e7', 'preposition': 'in', 'article': 'a', 'title': 'MRK3480 Forbrukeratferd', 'topics': [{'revisionId': '5695059a91da2d2300566f1d', 'name': 'Beskjeder, kun fra Nina', 'slug': 'beskjeder-kun-fra-nina', 'id': '5693c208d108fc24008de13b', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}, {'revisionId': '5693d8a316e0a927006261d3', 'name': 'Kursinformasjon', 'slug': 'kursinformasjon1272', 'id': '5693c252d108fc24008de142', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}, {'revisionId': '56977f1243929524005287de', 'name': 'Forbrukeratferd', 'slug': 'forbrukeratferd', 'id': '5693c25b16e0a927006257d5', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}, {'revisionId': '56977f1e8b0c7f2700042228', 'name': 'Beslutninger', 'slug': 'beslutninger358', 'id': '5693c262d108fc24008de149', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}, {'revisionId': '569505bb6ccbf42600dda621', 'name': 'Faglige spørsmål?', 'slug': 'faglige-sporsmal', 'id': '569505bb6ccbf42600dda622', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}, {'revisionId': '56976cec8b0c7f2700041dee', 'name': 'Foiler til hvert kapittel', 'slug': 'foiler-til-hvert-kapittel', 'id': '56976cb88b0c7f2700041dc5', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}], 'rootId': '569384db2bea66f99e5af2e7', 'displayName': 'MRK3480 Forbrukeratferd'}, 'verb': {'pastSimple': 'uploaded', 'verb': 'upload'}}",5698d57a41a9d7210023fc6c,Space,569384db2bea66f99e5af2e7,upload,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860302,2016-01-15 13:18:22,,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,5698d57941a9d7210023fc5c,Follow the crowd.png,file,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,5693844d2bea66f99e5af2e6,,Saved changes,Saved changes,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860314,2016-01-15 13:18:34,,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,5693844d2bea66f99e5af2e6,,Opened drop down menu for feed item,Opened drop down menu for feed item,5693844d2bea66f99e5af2e6,ETUser,"{'object': {'commentThreadId': '5698d5794c36f737d6ad2647', 'commentsCount': 0, 'id': '5698d57941a9d7210023fc5c', 'contentType': 'file', 'name': 'Follow the crowd.png', 'deletedAt': None, 'updatedAt': '2016-01-15T12:18:17', 'noun': 'file', 'displayName': 'Follow the crowd.png', 'createdAt': '2016-01-15T12:18:17', 'revisionId': '5698d57941a9d7210023fc5b', 'topics': [{'revisionId': '5695059a91da2d2300566f1d', 'name': 'Beskjeder, kun fra Nina', 'slug': 'beskjeder-kun-fra-nina', 'id': '5693c208d108fc24008de13b', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}], 'article': 'a', 'session': {'permissions': {'canCreate': True, 'canUpdate': True, 'canComment': True, 'canDelete': True, 'canDownload': True}}, 'owner': {'firstName': 'Nina', 'id': '5693844d2bea66f99e5af2e6', 'lastName': 'Ronæs', 'email': 'nina.ronas@bi.no'}, 'payload': {'s3FilePreviewKey': '5698d5672fb0de2600f21f6b/Follow the crowd.png', 's3FileKey': '5698d5672fb0de2600f21f6b/Follow the crowd.png', 'uploadRequestId': '5698d5672fb0de2600f21f6b', 'fileName': 'Follow the crowd.png', 'message': 'Takk for godt engasjement i første forelesning i går! Flotte bilder sendte dere også inn! Fortsett med å holde engasjementet oppe!', 'mimeType': 'image/png'}, 'ownerId': '5693844d2bea66f99e5af2e6'}, 'actors': [{'lastName': 'Ronæs', '$$hashKey': 'object:2059', 'id': '5693844d2bea66f99e5af2e6', 'phone': '46410446', 'hasFinishedOnboarding': True, 'firstName': 'Nina', 'updatedAt': {}, 'email': 'nina.ronas@bi.no', 'createdAt': {}, 'displayName': 'Nina Ronæs', 'hasSetPassword': True}], 'target': {'noun': 'space', 'ownerId': '569368472bea66f99e5af2a5', 'id': '569384db2bea66f99e5af2e7', 'preposition': 'in', 'article': 'a', 'title': 'MRK3480 Forbrukeratferd', 'topics': [{'revisionId': '5695059a91da2d2300566f1d', 'name': 'Beskjeder, kun fra Nina', 'slug': 'beskjeder-kun-fra-nina', 'id': '5693c208d108fc24008de13b', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}, {'revisionId': '5693d8a316e0a927006261d3', 'name': 'Kursinformasjon', 'slug': 'kursinformasjon1272', 'id': '5693c252d108fc24008de142', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}, {'revisionId': '56977f1243929524005287de', 'name': 'Forbrukeratferd', 'slug': 'forbrukeratferd', 'id': '5693c25b16e0a927006257d5', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}, {'revisionId': '56977f1e8b0c7f2700042228', 'name': 'Beslutninger', 'slug': 'beslutninger358', 'id': '5693c262d108fc24008de149', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}, {'revisionId': '569505bb6ccbf42600dda621', 'name': 'Faglige spørsmål?', 'slug': 'faglige-sporsmal', 'id': '569505bb6ccbf42600dda622', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}, {'revisionId': '56976cec8b0c7f2700041dee', 'name': 'Foiler til hvert kapittel', 'slug': 'foiler-til-hvert-kapittel', 'id': '56976cb88b0c7f2700041dc5', 'ownerId': '5693844d2bea66f99e5af2e6', 'deletedAt': None, 'updatedAt': {}, 'createdAt': {}}], 'rootId': '569384db2bea66f99e5af2e7', 'displayName': 'MRK3480 Forbrukeratferd'}, 'verb': {'pastSimple': 'uploaded', 'verb': 'upload'}}",5698d57a41a9d7210023fc6c,Space,569384db2bea66f99e5af2e7,upload,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860315,2016-01-15 13:18:35,,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,5698d57941a9d7210023fc5c,Follow the crowd.png,file,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,5693844d2bea66f99e5af2e6,,Deleted content,Deleted content,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860319,2016-01-15 13:18:39,,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,5693844d2bea66f99e5af2e6,,Uploaded file,Uploaded file,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860327,2016-01-15 13:18:47,,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,5693844d2bea66f99e5af2e6,,Uploaded file,Uploaded file,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860331,2016-01-15 13:18:51,,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,Follow the crowd.png,file,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,5693844d2bea66f99e5af2e6,,Created content,Created content,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860335,2016-01-15 13:18:55,,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics/beskjeder-kun-fra-nina/feed,,5693844d2bea66f99e5af2e6,,Opened intercom,Opened intercom,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452860345,2016-01-15 13:19:05,,beskjeder-kun-fra-nina,,,2016-01-11T12:23:48,,False,,,
