,Opened drop down menu for feed item,Entering error state,Created comment,Selected all topics,Created post,Viewed /auth/instant-login Page,Viewed notifications,Start,Tried viewing a missing feedItem,Cancelled editing,Viewed /auth/reset-password Page,Viewed space,Viewed content/topic,Opened drop down menu for content,Failed login attempt,Viewed feed/findOne,Viewed /invitation Page,Viewed /auth/register Page,Viewed content/all,Uploaded profile-image,Deleted content,Navigating to feed overview,Viewed /auth/login Page,Deleted comment,Logged in,Deleted post,Viewed feed/topic,Viewed /login Page,Opened intercom,Viewed notification,Logged in through login-screen,Resetted password,Redirecting to login-state from error-state,Downloaded file,Created content,Viewed /onboarding/space Page,UTM events,Logged out,User registered,Navigating to content overview,Uploaded file,End,Viewed feed/all,Saved changes,Opened drop down menu for comment,Selected topic,Viewed /onboarding Page,Viewed /about/privacy-policy Page,Redirecting to media,Viewed content,Finished onboarding,Viewed feedItem,Viewed link
Viewed content/topic,0,0.1428571429,0,0.0540540541,0,0,0.0236842105,,0,0,0,0.1594043023,0.066546221,1,0,0.0043365134,0.0070921986,0.005988024,0.0031941593,0,0,0.1582914573,0.010989011,0,0.0203289173,0,0.0494274533,0,0.0269230769,0,0.0024038462,0,0.1428571429,0.0589788732,0,0,0.0043478261,0.0074074074,0,0.0515672396,0.0142857143,0.0755544723,0.0021134202,0,0,0.0457256461,0,0,0,0.2829997979,0,0.0008396306,0.2
Opened drop down menu for content,0,0,0,0,0,0,0,,0,0,0,0.000551572,0,0,0,0,0,0,0,0,0.1666666667,0,0,0,0,0,0.0004348456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Failed login attempt,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.1666666667,0,0,0,0.0002281542,0,0,0,0,0,0.0002284148,0,0,0,0,0,0,0,0,0,0,0,0,0.0074074074,0,0,0,0.0004874482,0,0,0,0,0,0,0,0,0,0,0
Viewed feed/findOne,0,0,0,0.0038610039,0,0,0.001754386,,0.6666666667,0,0,0.0033094319,0,0,0,0.0104076323,0,0,0.0057038558,0,0,0,0.0073260073,0,0.0301507538,0,0.0013045369,0,0,0.58125,0.0072115385,0,0,0,0,0,0.1282608696,0,0,0,0,0.0056056544,0.0026417753,0,0,0.0019880716,0,0,0,0.0008085709,0,0.470193115,0
Viewed /invitation Page,0,0,0,0,0,0,0.000877193,,0,0,0,0.000551572,0.0003011141,0,0.1666666667,0,0.0070921986,0,0.0004563085,0,0,0,0.0146520147,0,0.0009136592,0,0,0,0.0038461538,0,0.0024038462,0,0,0.0008802817,0,0,0,0,0,0,0,0.0004874482,0.0033462487,0,0,0.0003313453,0.6329113924,0,0,0,0,0,0
Viewed /auth/register Page,0,0,0,0.000965251,0,0,0.0114035088,,0,0,0,0.000551572,0,0,0,0,0,0.0119760479,0.0013689254,0,0,0,0.0183150183,0,0.0070808588,0,0.0002898971,0,0,0,0.0024038462,0,0,0,0,0,0,0,1,0,0,0.0012186205,0.016555125,0,0,0.0004970179,0,0,0.027027027,0.0002021427,0,0,0
Viewed content/all,0,0.1428571429,0,0.0366795367,0,0,0.0666666667,,0,0,0,0.2156646442,0.0036133695,0,0,0.0338248049,0.0070921986,0.005988024,0.1049509468,0,0,0.2361809045,0.0293040293,0,0.0315212426,0,0.0004348456,0,0.0384615385,0,0.0144230769,0,0.1428571429,0.0915492958,0,0,0.002173913,0.0222222222,0,0.1274014156,0,0.0745795759,0.0780204297,0,0,0.0117627568,0,0,0,0.3897311502,0,0.0083963056,0.3090909091
Uploaded profile-image,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002284148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005283551,0,0,0.0001656726,0,0,0,0,0.0099009901,0,0
Deleted content,0,0,0,0,0,0,0,,0,0,0,0,0.0006022282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571428571,0,0,0,0,0,0,0,0,0,0,0,0
Navigating to feed overview,0.0625,0.1428571429,0,0.0077220077,0,0,0.0122807018,,0,0,0,0.0187534473,0.0045167118,0,0,0,0,0.005988024,0.0050193931,0,0,0.0489949749,0.0036630037,0,0.001142074,0,0.0265255834,0,0.0269230769,0,0.0048076923,0,0,0,0,0,0,0,0,0.0586450961,0.0428571429,0.009261516,0.058119056,0,0,0.0043074884,0.0063291139,0,0,0.0010107136,0.0099009901,0,0
Viewed /auth/login Page,0,0,0,0,0,0,0.0026315789,,0,0,0,0.000551572,0.0003011141,0,0.5,0.0026019081,0.0496453901,0.005988024,0.0004563085,0,0,0.0012562814,0.2490842491,0,0.0038830516,0,0.0002898971,0,0,0,0.0697115385,0,0.5714285714,0,0,0,0.0086956522,0.1777777778,0,0,0,0.004630758,0.0133849947,0,0,0.0008283632,0,0,0,0.0002021427,0,0.0016792611,0
Deleted comment,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002437241,0,0,0,0,0,0,0,0,0,0,0
Logged in,0,0.1428571429,0.0833333333,0.027992278,0,0,0.200877193,,0.1111111111,0,0.2,0.0413678985,0.0174646191,0,0.1666666667,0.0468343452,0.3333333333,0.3952095808,0.0764316678,0,0,0.0175879397,0.0915750916,0,0.0118775697,0,0.0315987824,0.6666666667,0.1076923077,0.0041666667,0.1730769231,0.6923076923,0,0.014084507,0,0.3417721519,0.4956521739,0.0444444444,0,0.0798786653,0.1,0.1199122593,0.2261359634,0,0,0.0629555997,0.1202531646,0,0.0810810811,0.0561956741,0.1584158416,0.1771620487,0.0363636364
Deleted post,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727,0,0,0,0,0,0,0.0004874482,0,0,0,0,0,0,0,0,0,0,0
Viewed feed/topic,0.125,0,0.1666666667,0.36003861,0.3333333333,0,0.1263157895,,0,0.5,0,0.0242691671,0.2161999398,0,0,0.0017346054,0.0141843972,0,0.0002281542,0,0,0.0917085427,0.032967033,0,0.0317496574,0,0.0688505581,0,0.1346153846,0,0.0168269231,0,0,0.0008802817,0.0681818182,0,0.002173913,0.1333333333,0,0.1688574317,0.3,0.0952961248,0.0147939415,0,0,0.6141484427,0,0,0.2702702703,0.0927835052,0,0.0067170445,0
Viewed /login Page,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048076923,0,0,0,0,0,0,0.0074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opened intercom,0,0,0,0.0115830116,0,0,0.0315789474,,0,0,0,0.0027578599,0.0018066847,0,0,0,0,0,0.0031941593,0,0,0.0037688442,0.010989011,0,0.0013704888,0,0.0013045369,0,0.15,0,0.0024038462,0,0,0.0008802817,0.0227272727,0,0,0.0444444444,0,0.0151668352,0,0.0141359981,0.0014089468,0,0,0.0051358516,0,0,0.027027027,0.0010107136,0,0,0
Viewed notification,0,0,0,0.0028957529,0,0,0,,0,0,0,0,0.0015055706,0,0,0.1491760624,0,0,0.0011407712,0,0,0,0,0,0.0002284148,0,0.0007247427,0,0,0,0.0024038462,0,0,0,0,0,0,0.0074074074,0,0,0,0.0007311723,0.0028178936,0,0,0.0008283632,0,0,0,0.0002021427,0,0.2199832074,0
Logged in through login-screen,0,0,0,0.0019305019,0,0,0.0052631579,,0,0,0,0.000551572,0,0,0,0.0078057242,0,0,0.0011407712,0,0,0,0,0,0.0370031978,0,0.0005797942,0,0.0038461538,0,0.0192307692,0,0,0,0,0,0,0.0074074074,0,0.0040444894,0,0.0009748964,0.0343430785,0,0,0.0014910537,0,0,0,0.0008085709,0,0.0008396306,0
Resetted password,0,0,0,0,0,0,0.000877193,,0,0,0,0,0,0,0,0,0,0,0.0004563085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002437241,0.0036984854,0,0,0.0001656726,0,0,0,0,0,0,0
Redirecting to login-state from error-state,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0004563085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074074074,0,0,0,0.0002437241,0.0005283551,0,0,0,0,0,0,0,0,0,0
Downloaded file,0,0,0,0,0,0,0,,0,0,0,0.0038610039,0.0078289672,0,0,0.0121422376,0,0.005988024,0.0109514031,0,0,0.0012562814,0.0146520147,0,0.0102786661,0,0.0140600087,0,0,0,0,0,0,0.5572183099,0,0,0.0043478261,0.0074074074,0,0,0,0.028028272,0.0216625572,0,0,0.0001656726,0,0,0,0.0036385688,0,0,0
Created content,0.25,0,0,0,0.5,0,0,,0,0,0,0,0.0006022282,0,0,0,0,0,0.0002281542,0,0,0,0,0,0.0006852444,0,0.0001449485,0,0.0076923077,0,0,0,0,0,0.0454545455,0,0,0,0,0.0010111223,0,0.002437241,0.0001761184,0,0,0.0003313453,0,0,0,0.0024257126,0,0,0
Viewed /onboarding/space Page,0,0,0,0,0,0,0.000877193,,0,0,0,0,0,0,0,0,0,0,0.0002281542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126582278,0,0,0,0.0010111223,0,0,0.013032758,0,0,0,0.0063291139,0,0,0,0,0,0
UTM events,0,0.0714285714,0,0,0,0,0,,0,0,0,0.000551572,0,0,0,0.2792714657,0,0,0.0011407712,0,0,0,0.0586080586,0,0.0125628141,0,0.0004348456,0,0,0,0,0,0,0,0,0,0.0086956522,0,0,0,0,0.0007311723,0.0001761184,0,0,0.0004970179,0,0,0,0,0,0.0386230059,0
Logged out,0,0,0,0.000965251,0,1,0.000877193,,0,0,0.8,0,0,0,0,0,0,0.0119760479,0,0,0,0,0.0256410256,0,0.0013704888,0,0,0,0,0,0.0745192308,0,0,0,0,0,0.002173913,0.037037037,0,0,0,0.0173044114,0.0003522367,0,0,0.0003313453,0,0,0,0,0,0.0008396306,0
User registered,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036630037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navigating to content overview,0,0,0,0.0048262548,0,0,0.0035087719,,0,0,0,0.2095973525,0.0538994279,0,0,0,0,0.005988024,0.0709559662,0,0,0.0515075377,0,0,0,0,0.0013045369,0,0,0,0.0024038462,0,0,0,0,0,0,0,0,0.0161779575,0,0.0009748964,0.0017611835,0,0,0.0014910537,0,0,0,0.0030321407,0,0,0.0727272727
Uploaded file,0,0,0,0.0048262548,0,0,0,,0,0,0,0,0.0006022282,0,0,0,0,0,0.0002281542,0,0,0.0025125628,0.0036630037,0,0.0004568296,0,0.0002898971,0,0.0038461538,0,0,0,0,0,0.7954545455,0,0,0.0074074074,0,0.003033367,0.1,0.0009748964,0,0,0,0.0004970179,0,0,0,0.0002021427,0,0,0
End,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viewed feed/all,0.25,0.1428571429,0.4166666667,0.2133204633,0.1666666667,0,0.350877193,,0,0,0,0.0319911748,0,0,0,0.0017346054,0.304964539,0.1616766467,0.1772758385,0.1666666667,0,0.1620603015,0.1758241758,0,0.3302878026,0,0.023481664,0,0.1807692308,0.0020833333,0.1850961538,0.2307692308,0,0,0.0227272727,0.5696202532,0,0.1777777778,0,0.2568250758,0.2285714286,0.1632951499,0.0133849947,0,1,0.1111663353,0.1265822785,0,0.2972972973,0.0846977966,0.0396039604,0.0067170445,0
Saved changes,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002437241,0,0,0,0,0,0,0,0.0002021427,0,0,0
Opened drop down menu for comment,0.0625,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selected topic,0,0,0.0833333333,0.0743243243,0,0,0.0298245614,,0,0,0,0.1709873138,0.1577838001,0,0,0.0017346054,0.0070921986,0,0.0006844627,0,0,0.0175879397,0,0,0.0018273184,0,0.644876069,0,0.0192307692,0,0,0,0,0,0,0,0.002173913,0.0444444444,0,0.0384226491,0.1,0.0272970997,0.0132088764,0,0,0.0424121935,0.0063291139,0,0.0540540541,0.0212249848,0,0.0033585223,0.0181818182
Viewed /onboarding Page,0,0,0,0,0,0,0.0035087719,,0,0,0,0,0,0,0,0,0.1205673759,0.005988024,0.0011407712,0,0,0.0012562814,0,0,0.0063956144,0,0.0002898971,0,0,0,0.0024038462,0,0,0,0,0.0126582278,0,0.0074074074,0,0,0,0.0007311723,0.0151461782,0,0,0.0011597084,0.0063291139,0,0,0,0,0,0
Viewed /about/privacy-policy Page,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003522367,0,0,0,0,0,0,0,0,0,0
Redirecting to media,0.0625,0,0,0.000965251,0,0,0.001754386,,0,0,0,0,0.0012044565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024038462,0,0,0.0008802817,0,0,0.002173913,0,0,0,0,0.0036558616,0,0,0,0.0008283632,0,0,0.0540540541,0.0008085709,0,0,0
Viewed content,0,0.0714285714,0,0,0,0,0.001754386,,0,0,0,0.0077220077,0.2704004818,0,0,0.0659150043,0.0283687943,0.0179640719,0.2931781885,0,0,0,0.0256410256,0,0.0431703974,0,0.0727641687,0,0,0,0.0024038462,0,0,0.2632042254,0,0,0.0086956522,0,0,0.0010111223,0,0.2247136242,0.1250440296,0,0,0,0.0253164557,0,0.027027027,0.0022235698,0,0.0109151973,0
Finished onboarding,0,0,0,0,0,0,0.000877193,,0,0,0,0,0,0,0,0,0,0,0,0.6666666667,0,0.0012562814,0,0,0.0006852444,0,0,0,0,0,0,0,0,0,0,0.0126582278,0,0.0148148148,0,0.0010111223,0,0.0004874482,0.0012328285,0,0,0.0006626905,0,0,0,0,0.7425742574,0,0
Viewed feedItem,0,0,0.1666666667,0.0598455598,0,0,0.0061403509,,0,0,0,0.028130171,0.0096356519,0,0,0.0607111882,0,0.005988024,0.0533880903,0,0,0.0037688442,0.0732600733,0,0.0178163545,0,0.0095666039,0,0,0.0645833333,0.0048076923,0,0,0,0,0,0.0804347826,0,0,0,0,0.0441140629,0.0209580838,0,0,0.020212061,0,0,0,0.0145542753,0,0.0008396306,0
Viewed link,0,0,0,0,0,0,0.000877193,,0,0,0,0.000551572,0.0006022282,0,0,0,0,0,0.0020533881,0,0,0.0037688442,0,0,0,0,0,0,0.0038461538,0,0,0,0,0,0,0,0,0,0,0,0,0.0029246893,0.0003522367,0,0,0.0009940358,0,0,0,0.001414999,0,0,0.2
