,Opened drop down menu for feed item,Entering error state,Created comment,Selected all topics,Created post,Viewed /auth/instant-login Page,Viewed notifications,Start,Tried viewing a missing feedItem,Cancelled editing,Viewed /auth/reset-password Page,Viewed space,Viewed content/topic,Opened drop down menu for content,Failed login attempt,Viewed feed/findOne,Viewed /invitation Page,Viewed /auth/register Page,Viewed content/all,Uploaded profile-image,Deleted content,Navigating to feed overview,Viewed /auth/login Page,Deleted comment,Logged in,Deleted post,Viewed feed/topic,Viewed /login Page,Opened intercom,Viewed notification,Logged in through login-screen,Resetted password,Redirecting to login-state from error-state,Downloaded file,Created content,Viewed /onboarding/space Page,UTM events,Logged out,User registered,Navigating to content overview,Uploaded file,End,Viewed feed/all,Saved changes,Opened drop down menu for comment,Selected topic,Viewed /onboarding Page,Viewed /about/privacy-policy Page,Redirecting to media,Viewed content,Finished onboarding,Viewed feedItem,Viewed link
Viewed /auth/reset-password Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed space,0.0,0.0,0.0,0.022614451185879757,0.0,0.0,0.03254274682846112,0.0,0.0,0.0,0.0,0.023717595146166576,0.2746828461114175,0.0,0.0,0.001654715940430226,0.0,0.0,0.2592388306674021,0.0,0.0005515719801434088,0.06563706563706563,0.0005515719801434088,0.0,0.02206287920573635,0.0,0.01820187534473249,0.0,0.003309431880860452,0.0005515719801434088,0.002206287920573635,0.0,0.0,0.0005515719801434088,0.0,0.0,0.0,0.0005515719801434088,0.0,0.06067291781577496,0.0,0.04522890237175951,0.03364589078874793,0.0,0.0,0.09045780474351903,0.0,0.0,0.0,0.03530060672917816,0.0,0.002206287920573635,0.003861003861003861
Viewed content/topic,0.0,0.0006022282445046673,0.0,0.016862390846130684,0.0,0.0,0.008130081300813009,0.0,0.0,0.0,0.0,0.08702198133092443,0.06654622101776574,0.0015055706112616681,0.0,0.0015055706112616681,0.00030111412225233364,0.00030111412225233364,0.004215597711532671,0.0,0.0,0.037940379403794036,0.0009033423667570009,0.0,0.026799156880457694,0.0,0.10267991568804577,0.0,0.0021077988557663355,0.0,0.00030111412225233364,0.0,0.00030111412225233364,0.020174646190906354,0.0,0.0,0.0006022282445046673,0.00030111412225233364,0.0,0.015356820234869015,0.00030111412225233364,0.09334537789822343,0.0036133694670280035,0.0,0.0,0.08310749774164408,0.0,0.0,0.0,0.4215597711532671,0.0,0.00030111412225233364,0.00331225534477567
Opened drop down menu for content,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Failed login attempt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed feed/findOne,0.0,0.0,0.0,0.003469210754553339,0.0,0.0,0.0017346053772766695,0.0,0.005203816131830009,0.0,0.0,0.005203816131830009,0.0,0.0,0.0,0.010407632263660017,0.0,0.0,0.02168256721595837,0.0,0.0,0.0,0.0017346053772766695,0.0,0.11448395490026018,0.0,0.007805724197745013,0.0,0.0,0.2419774501300954,0.0026019080659150044,0.0,0.0,0.0,0.0,0.0,0.05117085862966175,0.0,0.0,0.0,0.0,0.0199479618386817,0.013009540329575022,0.0,0.0,0.010407632263660017,0.0,0.0,0.0,0.003469210754553339,0.0,0.4856895056374675,0.0
Viewed /invitation Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0070921985815602835,0.0070921985815602835,0.0,0.0070921985815602835,0.0,0.0070921985815602835,0.0,0.014184397163120567,0.0,0.0,0.0,0.028368794326241134,0.0,0.028368794326241134,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0070921985815602835,0.0,0.0,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014184397163120567,0.1347517730496454,0.0,0.0,0.014184397163120567,0.7092198581560284,0.0,0.0,0.0,0.0,0.0,0.0
Viewed /auth/register Page,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.07784431137724551,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.011976047904191617,0.03592814371257485,0.0,0.0,0.0,0.029940119760479042,0.0,0.18562874251497005,0.0,0.011976047904191617,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.029940119760479042,0.562874251497006,0.0,0.0,0.017964071856287425,0.0,0.0,0.005988023952095809,0.005988023952095809,0.0,0.0,0.0
Viewed content/all,0.0,0.0004563084645220169,0.0,0.008669860825918321,0.0,0.0,0.017339721651836643,0.0,0.0,0.0,0.0,0.0892083048140543,0.0027378507871321013,0.0,0.0,0.00889801505817933,0.00022815423226100844,0.00022815423226100844,0.10495094684006388,0.0,0.0,0.042892995665069586,0.0018252338580880675,0.0,0.03148528405201916,0.0,0.0006844626967830253,0.0,0.0022815423226100846,0.0,0.0013689253935660506,0.0,0.00022815423226100844,0.02372804015514488,0.0,0.0,0.00022815423226100844,0.0006844626967830253,0.0,0.028747433264887063,0.0,0.06981519507186858,0.10107232489162674,0.0,0.0,0.016198950490531598,0.0,0.0,0.0,0.43988135979922427,0.0,0.0022815423226100846,0.0038786219484371436
Uploaded profile-image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
Deleted content,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navigating to feed overview,0.001256281407035176,0.002512562814070352,0.0,0.010050251256281407,0.0,0.0,0.017587939698492462,0.0,0.0,0.0,0.0,0.04271356783919598,0.018844221105527637,0.0,0.0,0.0,0.0,0.001256281407035176,0.02763819095477387,0.0,0.0,0.048994974874371856,0.001256281407035176,0.0,0.00628140703517588,0.0,0.22989949748743718,0.0,0.008793969849246231,0.0,0.002512562814070352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728643216080402,0.0037688442211055275,0.04773869346733668,0.41457286432160806,0.0,0.0,0.032663316582914576,0.001256281407035176,0.0,0.0,0.00628140703517588,0.001256281407035176,0.0,0.0
Viewed /auth/login Page,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.003663003663003663,0.003663003663003663,0.0,0.01098901098901099,0.01098901098901099,0.02564102564102564,0.003663003663003663,0.007326007326007326,0.0,0.0,0.003663003663003663,0.2490842490842491,0.0,0.06227106227106227,0.0,0.007326007326007326,0.0,0.0,0.0,0.10622710622710622,0.0,0.014652014652014652,0.0,0.0,0.0,0.014652014652014652,0.08791208791208792,0.0,0.0,0.0,0.0695970695970696,0.2783882783882784,0.0,0.0,0.018315018315018316,0.0,0.0,0.0,0.003663003663003663,0.0,0.007326007326007326,0.0
Deleted comment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logged in,0.0,0.00045682960255824577,0.00022841480127912289,0.006624029237094564,0.0,0.0,0.05230698949291914,0.0,0.00022841480127912289,0.0,0.00022841480127912289,0.017131110095934217,0.013248058474189127,0.0,0.00022841480127912289,0.012334399269072635,0.010735495660118775,0.01507537688442211,0.07651895842850617,0.0,0.0,0.0031978072179077205,0.005710370031978072,0.0,0.01187756966651439,0.0,0.04979442667884879,0.00045682960255824577,0.006395614435815441,0.00045682960255824577,0.01644586569209685,0.004111466423024212,0.0,0.003654636820465966,0.0,0.0061671996345363175,0.05207857469164002,0.0013704888076747374,0.0,0.018044769301050707,0.0015989036089538603,0.11238008222932847,0.29328460484239377,0.0,0.0,0.08679762448606669,0.004339881224303335,0.0,0.0006852444038373687,0.06349931475559616,0.003654636820465966,0.04819552306989493,0.00045682960255824577
Deleted post,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed feed/topic,0.00028989708653428034,0.0,0.00028989708653428034,0.054065806638643285,0.00028989708653428034,0.0,0.020872590230468183,0.0,0.0,0.00014494854326714017,0.0,0.006377735903754168,0.10407305406580664,0.0,0.0,0.00028989708653428034,0.00028989708653428034,0.0,0.00014494854326714017,0.0,0.0,0.010581243658501232,0.0013045368894042614,0.0,0.020147847514132483,0.0,0.06885055805189158,0.0,0.005073199014349905,0.0,0.0010146398028699811,0.0,0.0,0.00014494854326714017,0.0004348456298014205,0.0,0.00014494854326714017,0.002609073778808523,0.0,0.024206406725612407,0.0030439194086099436,0.056674880417451806,0.012175677634439774,0.0,0.0,0.5373242498912886,0.0,0.0,0.0014494854326714017,0.06653138135961734,0.0,0.0011595883461371214,0.0
Viewed /login Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Opened intercom,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.13846153846153847,0.0,0.0,0.0,0.0,0.019230769230769232,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.05384615384615385,0.0,0.0,0.011538461538461539,0.011538461538461539,0.0,0.023076923076923078,0.0,0.03461538461538462,0.0,0.15,0.0,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.023076923076923078,0.0,0.057692307692307696,0.0,0.2230769230769231,0.03076923076923077,0.0,0.0,0.11923076923076924,0.0,0.0,0.0038461538461538464,0.019230769230769232,0.0,0.0,0.0
Viewed notification,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.35833333333333334,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0020833333333333333,0.0,0.010416666666666666,0.0,0.0,0.0,0.0020833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0020833333333333333,0.0,0.0,0.0,0.00625,0.03333333333333333,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0020833333333333333,0.0,0.5458333333333333,0.0
Logged in through login-screen,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.014423076923076924,0.0,0.0,0.0,0.0,0.002403846153846154,0.0,0.0,0.0,0.021634615384615384,0.0,0.0,0.01201923076923077,0.0,0.0,0.0,0.0,0.0,0.3894230769230769,0.0,0.009615384615384616,0.0,0.002403846153846154,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.002403846153846154,0.0,0.009615384615384616,0.0,0.009615384615384616,0.46875,0.0,0.0,0.021634615384615384,0.0,0.0,0.0,0.009615384615384616,0.0,0.002403846153846154,0.0
Resetted password,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.8076923076923077,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redirecting to login-state from error-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Downloaded file,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006161971830985915,0.022887323943661973,0.0,0.0,0.01232394366197183,0.0,0.0008802816901408451,0.04225352112676056,0.0,0.0,0.0008802816901408451,0.0035211267605633804,0.0,0.03961267605633803,0.0,0.08538732394366197,0.0,0.0,0.0,0.0,0.0,0.0,0.5572183098591549,0.0,0.0,0.0017605633802816902,0.0008802816901408451,0.0,0.0,0.0,0.10123239436619719,0.10827464788732394,0.0,0.0,0.0008802816901408451,0.0,0.0,0.0,0.01584507042253521,0.0,0.0,0.0
Created content,0.09090909090909091,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.022727272727272728,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.22727272727272727,0.022727272727272728,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0
Viewed /onboarding/space Page,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.9367088607594937,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0
UTM events,0.0,0.002173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002173913043478261,0.0,0.0,0.0,0.7,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.034782608695652174,0.0,0.11956521739130435,0.0,0.006521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.006521739130434782,0.002173913043478261,0.0,0.0,0.006521739130434782,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Logged out,0.0,0.0,0.0,0.007407407407407408,0.0,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.05185185185185185,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.22962962962962963,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.037037037037037035,0.0,0.0,0.0,0.5259259259259259,0.014814814814814815,0.0,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0
User registered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navigating to content overview,0.0,0.0,0.0,0.005055611729019211,0.0,0.0,0.004044489383215369,0.0,0.0,0.0,0.0,0.38422649140546006,0.18099089989888775,0.0,0.0,0.0,0.0,0.0010111223458038423,0.31445904954499493,0.0,0.0,0.041456016177957536,0.0,0.0,0.0,0.0,0.00910010111223458,0.0,0.0,0.0,0.0010111223458038423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016177957532861477,0.0,0.004044489383215369,0.010111223458038422,0.0,0.0,0.00910010111223458,0.0,0.0,0.0,0.015166835187057633,0.0,0.0,0.004044489383215369
Uploaded file,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.02857142857142857,0.014285714285714285,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.014285714285714285,0.0,0.04285714285714286,0.1,0.05714285714285714,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0
End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewed feed/all,0.0007044734061289186,0.0003522367030644593,0.0008805917576611482,0.038922155688622756,0.00017611835153222966,0.0,0.07044734061289186,0.0,0.0,0.0,0.0,0.010214864388869321,0.0,0.0,0.0,0.0003522367030644593,0.007573089115885875,0.004755195491370201,0.13684395914054245,0.00017611835153222966,0.0,0.022719267347657626,0.008453680873547023,0.0,0.25466713631560406,0.0,0.028531172948221203,0.0,0.008277562522014795,0.00017611835153222966,0.013561113067981684,0.0010567101091933778,0.0,0.0,0.00017611835153222966,0.007925325818950335,0.0,0.004226840436773511,0.0,0.04473406128918633,0.0028178936245156746,0.11799929552659387,0.013384994716449454,0.0,0.0003522367030644593,0.1181754138781261,0.003522367030644593,0.0,0.0019373018668545263,0.07379358929200423,0.0007044734061289186,0.0014089468122578373,0.0
Saved changes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Opened drop down menu for comment,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selected topic,0.0,0.0,0.0001656726308813784,0.012756792577866136,0.0,0.0,0.005632869449966865,0.0,0.0,0.0,0.0,0.051358515573227306,0.08681245858184228,0.0,0.0,0.0003313452617627568,0.0001656726308813784,0.0,0.0004970178926441351,0.0,0.0,0.0023194168323392977,0.0,0.0,0.0013253810470510272,0.0,0.7370775347912525,0.0,0.0008283631544068919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001656726308813784,0.0009940357852882703,0.0,0.006295559973492379,0.0011597084161696488,0.01855533465871438,0.01242544731610338,0.0,0.0,0.04241219350563287,0.0001656726308813784,0.0,0.0003313452617627568,0.01739562624254473,0.0,0.0006626905235255136,0.0001656726308813784
